3	86
0	0	0
0	5	0
5	0	0
5	5	0
1.4	0	0
3.6	0	0
1.4	5	0
3.6	5	0
0	1.4	0
0	3.6	0
5	0.8	0
5	4.2	0
2.71	0.8	0
2.71	4.2	0
1.4	3.7	0
1.4	2.5	0
1.4	1.3	0
5	0	0
5	5	0
10	0	0
10	5	0
10	1.4	0
10	3.6	0
6.2	0	0
8.8	0	0
6.2	5	0
8.8	5	0
5	0.8	0
5	4.2	0
7.94	2.5	0
5	0	0
5	5	0
5	0	5
5	5	5
5	1.4	5
5	3.6	5
5	0	1.4
5	0	3.6
5	5	1.4
5	5	3.6
5	0.8	0
5	4.2	0
5	2.5	2.94
10	0	0
10	5	0
15	0	0
15	5	0
11.4	0	0
13.6	0	0
11.4	5	0
13.6	5	0
10	1.4	0
10	3.6	0
15	0.8	0
15	4.2	0
12.71	0.8	0
12.71	4.2	0
11.4	3.7	0
11.4	2.5	0
11.4	1.3	0
15	0	0
15	5	0
20	0	0
20	5	0
20	1.4	0
20	3.6	0
16.2	0	0
18.8	0	0
16.2	5	0
18.8	5	0
15	0.8	0
15	4.2	0
17.94	2.5	0
15	0	0
15	5	0
15	0	5
15	5	5
15	1.4	5
15	3.6	5
15	0	1.4
15	0	3.6
15	5	1.4
15	5	3.6
15	0.8	0
15	4.2	0
15	2.5	2.94
